ID,Date,Band,Genus,Species,Sex,Age,Time,Site,Mass,Wing_length,Tail_length,Fat_code,Condition
3D6.1D59AEEB33,4/27/21,A00003078,Archilochus,BCHU,M,AHY,10:00:00,SB,3.11,43.5,NA,0,13.98713826
3D6.1D59AEEA47,4/27/21,NA,Archilochus,BCHU,M,AHY,9:52:00,SB,2.97,44,NA,0,14.81481481
3D6.1D593E1B02,4/27/21,NA,Archilochus,BCHU,M,AHY,9:45:00,SB,2.85,42,NA,0,14.73684211
3D6.1D59AEEAFC,4/27/21,NA,Archilochus,BCHU,M,AHY,9:45:00,SB,2.85,2.85,NA,NA,1
3D6.1D59AEEB2C,4/27/21,NA,Calypte,ANHU,M,HY,9:35:00,SB,4.4,0,NA,0,0
3d6.1d59aeeb1a,4/27/21,A00003089,Calypte,ANHU,F,HY,9:25:00,SB,4.03,50,NA,0,12.40694789
3D6.1D593E1CCB,4/27/21,NA,Archilochus,BCHU,M,AHY,9:20:00,SB,2.89,43,NA,0,14.87889273
3D6.1D59AEEB11,4/27/21,A00003082,Archilochus,BCHU,M,AHY,9:00:00,SB,2.89,41,NA,0,14.18685121
3D6.1D59AEEAF1,4/27/21,A00003088,Calypte,ANHU,F,HY,8:45:00,SB,3.87,48,NA,0,12.40310078
3D6.1D593E1B7F,4/27/21,A00003071,Archilochus,BCHU,M,AHY,8:37:00,SB,2.85,43,NA,0,15.0877193
3D6.1D59AEEB3F,4/27/21,A00003072,Archilochus,BCHU,M,AHY,8:35:00,SB,2.95,42,NA,0,14.23728814
3D6.1D59AEEB06,4/27/21,A00003081,Archilochus,BCHU,M,AHY,8:25:00,SB,3,42,NA,-,14
3D6.1D593E1D3B,4/27/21,610089849,Calypte,ANHU,M,AHY,8:22:00,SB,4.55,50,NA,0,10.98901099
3D6.1D59AEEB3C,4/27/21,A00003080,Archilochus,BCHU,M,AHY,8:11:00,SB,3.1,43,NA,0,13.87096774
3D6.1D59AEEAEB,4/27/21,A00003085,Calypte,ANHU,M,HY,8:10:00,SB,4.49,52,NA,0,11.58129176
